chunked_content,place,relevant_hashtags
Visited the Nintendo Store in New York City It was fun but I wish they had more of a Pok mon selection I really wanted to buy another Pok mon plush but they didnt have any that interested me Regardless I love Nintendo so it was still fun to look aroundFun fact Legend of Zelda is actually one of my favorite video game series ever If you like video games what do you like to play 닌텐도 마리오 젤다의전설 젤다 린 동물의숲 포켓몬 포켓몬스터 커비 소품 하루 재미 뉴욕 핫 뉴욕 여행 닌텐도 뉴욕 쇼핑 비디오게임 nintendostore nintendonyc nintendostorenyc mario legendofzelda kirbykirbykirby animalcrossingaddict pokemonplush nyctravel newyorktrip shopwithme manhattannyc Visited the Nintendo Store in New York City It was fun but I wish they had more of a Pok mon selection I really wanted to buy another Pok mon plush but they didnt have any that interested me Regardless I love Nintendo so it was still fun to look aroundFun fact Legend of Zelda is actually one of my favorite video game series ever If you like video games what do you like to play nintendostore nintendonyc nintendostorenyc mario legendofzelda kirbykirbykirby animalcrossingaddict pokemonplush nyctravel newyorktrip shopwithme manhattannyc,NintendoNYC,"['#뉴욕핫플', '#닌텐도뉴욕', '#manhattannyc']"
Charles Prime Rib Just wow 예약 a must go 생각 서비스 매우 음식 말 것 사이드 별로 고기 집중 Charles Prime Rib Just wow a must go,4 Charles Prime Rib,[]
timesquare newyork 뉴욕 핫 photography citywalk travelphotography fashionblogger outfitinspiration 여행 스타 그램 nakedcowboynyc timesquare newyork photography citywalk travelphotography fashionblogger outfitinspiration nakedcowboynyc,"Times Square, New York City","['#newyork', '#뉴욕핫플', '#citywalk']"
최근 간 곳 중 내부 가장 분위기 레스토랑 위 구성 콜키 안 와인 꼭 가기 대신 뉴욕 스테이 트산 와인 lobster salmon banana pudding short rib ravioli grilled octopus 뉴욕뉴욕 맛집 뉴욕 호텔 뉴욕 여행 월스트리트 분위기 맛집 뉴욕 일상 뉴욕 생활 신혼 생활 신혼 일상 뉴욕 핫 beekmanhoteltemplecourt lobster salmon banana pudding short rib ravioli grilled octopus beekmanhoteltemplecourt,Temple Court - The Beekman,"['#뉴욕', '#뉴욕맛집', '#뉴욕호텔', '#뉴욕일상', '#뉴욕생활', '#뉴욕핫플']"
whitbynyc 커피타임 coffeetime nyclife 뉴욕 카페 추천 뉴욕 일상 뉴욕 핫 whitbynyc coffeetime nyclife,The Whitby Hotel,"['#뉴욕카페추천', '#뉴욕일상', '#뉴욕핫플']"
약속 시간 남아 그릇 구경 lamercerie 맘 쏙 세라믹 그릇 주문 매치 그릇 가득 뉴욕 여행 오심 한번 세라믹 그릇 핸드 메이드 lamercerie,La Mercerie,[]
금요일 금요일 밤 OFFAIR 금금 밤 오프 에어 이서진 뉴욕뉴욕 OFFAIR,,['#이서진의뉴욕뉴욕']
세계 미술관 뉴욕 메트로폴리탄 미술관 건물 외관 한국 대표 설치미술가 이불 작품 설치 예정 metmuseum 미국 뉴욕 메트로폴리탄 미술관 내년 건물 정면 외관 한국 대표 설치미술가 이불 작가 작품 장식 예정 영국 내셔널 갤러리 프랑스 루브르 박물관 러시아 에르미타시 미술관 스페인 프라 미술관 세계 미술관 솝 미국 뉴욕 메트로폴리탄 미술관 이하 메트은 매년 명 방문 최고 권위 미술관 평가 그동안 메트로폴리탄 미술관 한국 작가 작품 전시 수 차례 미술관 대표 얼굴 수 건물 외부 한국 작가 작품 설치 것 이번 처음 요 메 이불 작가 대해 작품 온 이불 동시 최고 한국 현 미술가 창의 기술 혁신 기술 전문성 작품 통합 작가 설명 이불 작가 작품 내년 부터 설치 예정 해당 기간 동안 뉴욕 방문 꼭 한번 이불 작가 작 품세 이불 LEE BUL 드로잉 조각 회화 설치 미술 비디오아트 등 움 욕망 부패 쇠퇴 등 주제 표현 한국 설치미술가 베니스 비엔날레 한국 대표 참여 호암 예술상 수상한 바 디 포인트 세계 미술관 뉴욕 메트로폴리탄 미술관 이불 작가 작품 건물 외관 정면 장식 예정 작품 내년 부터 설치 예정 The Metropolitan Museum of Art th Ave New York NY USA EVERYDAY 금토 수 관 Sep May Photograph The Metropolitan Museum of Art LEE BUL 이불 작가 메트로폴리탄 뮤 지엄 d careeer metmuseum LEE BUL The Metropolitan Museum of Art th Ave New York NY USA EVERYDAY Sep May Photograph The Metropolitan Museum of Art LEE BUL d careeer,"The Metropolitan Museum of Art, New York",[]
애 둘 브런치 신랑 서로 바톤 터치 흡입 사진 모두 올리버 안고 것 오늘밤 삼 십견 예약 자기야 다음 친구 애기 보고 밤 염 칵테일 한잔 구 뉴욕 핫 뉴욕 카페 뉴욕 레스토랑 뉴저지 맘 thetimesquareeditionnycrestaurants thetimesquareeditionnycrestaurants,The Times Square EDITION,"['#뉴욕핫플', '#뉴욕카페', '#뉴욕레스토랑', '#뉴저지맘', '#nycrestaurants']"
의 날 누옄 핑크 소세지,"New York, New York",[]
